velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z,jerk_x,jerk_y,jerk_z,relative_distance,bbox_top_left_x,bbox_top_left_y,bbox_top_right_x,bbox_top_right_y,bbox_bottom_left_x,bbox_bottom_left_y,bbox_bottom_right_x,bbox_bottom_right_y
2.626096318181226e-07,-1.9350435920273412e-08,-0.00777650810778141,-7.23049083717342e-07,-4.841518830289715e-08,0.09893830120563507,-9.016748663270846e-06,-9.758245766988694e-08,20.377099812030792,100.0,0,0,0,0,0,0,0,0,
-2.0201273542852505e-08,-2.1417895013087218e-08,-0.005191139876842499,-8.484326826874167e-06,-6.202376567898682e-08,0.07756104320287704,-0.0001552255548631365,-2.721715475217934e-07,-0.4275451600551605,100.0,0,0,0,0,0,0,0,0,
1.1098441632384493e-07,-1.6323902229942178e-08,-0.003225893946364522,3.935570475732675e-06,1.5281977994163753e-07,0.05895737558603287,0.00024839794605213683,4.296870912412487e-06,-0.37207335233688354,100.0,0,0,0,0,0,0,0,0,
-8.890700797792306e-08,-1.819621253673631e-08,-0.0017849254654720426,-5.99674194745603e-06,-5.6169305651110335e-08,0.04322905093431473,-0.0001986462484637741,-4.179781711854957e-06,-0.3145664930343628,100.0,0,0,0,0,0,0,0,0,
-1.1368893382268652e-07,-1.8265474466261367e-08,-0.0007632923079654574,-7.434577469211945e-07,-2.07785766370705e-09,0.03064899332821369,0.00010506568401069671,1.0818289597480657e-06,-0.2516011521220207,100.0,0,0,0,0,0,0,0,0,
1.0435493891236547e-07,6.747089287273411e-08,-7.776260463288054e-05,6.5413159973104484e-06,2.5720908070070436e-06,0.02056588977575302,0.00014569547488463286,5.1483373293415013e-05,-0.2016620710492134,100.0,0,0,0,0,0,0,0,0,
-7.308622684831789e-08,2.6189242774421473e-08,0.0003525161591824144,-5.323234745446825e-06,-1.2384494993966655e-06,0.012908361852169037,-0.00023729101485514548,-7.621080612807418e-05,-0.1531505584716797,100.0,0,0,0,0,0,0,0,0,
2.4513713015039684e-07,-1.5424578947431655e-08,0.000595416990108788,9.54670031205751e-06,-1.248414605470316e-06,0.007287024520337582,0.0002973987011500867,-1.9930212147301063e-07,-0.1124267466366291,100.0,0,0,0,0,0,0,0,0,
1.0016240040153966e-16,-7.981962868441883e-10,0.00015270232688635588,-7.354113222390879e-06,4.3879146005565417e-07,-0.013281439431011677,-0.0003380162706889678,3.3744121310519404e-05,-0.41136927902698517,100.0,0,0,0,0,0,0,0,0,
-3.1777055653492425e-08,-3.4986622488020203e-09,0.00041530607268214226,-9.533115985504992e-07,-8.101397952486877e-08,0.00787811167538166,0.0001280160324768076,-1.0396108791610459e-05,0.42319102212786674,100.0,0,0,0,0,0,0,0,0,
